REF_DATE,GEO,DGUID,Indicator,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1979,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,370.6,,,,1
1980,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,379.7,,,,1
1981,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,410.1,,,,1
1982,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,421.9,,,,1
1983,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,405.9,,,,1
1984,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,384.2,,,,1
1985,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,364.0,,,,1
1986,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,447.4,,,,1
1987,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,556.5,,,,1
1988,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,481.1,,,,1
1989,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,464.6,,,,1
1990,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,455.8,,,,1
1991,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,440.6,,,,1
1992,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,450.7,,,,1
1993,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,443.6,,,,1
1994,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,449.0,,,,1
1995,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,444.7,,,,1
1996,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,412.5,,,,1
1997,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,390.5,,,,1
1998,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,397.6,,,,1
1999,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,411.3,,,,1
2000,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,421.5,,,,1
2001,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,417.3,,,,1
2002,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,416.4,,,,1
2003,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,421.1,,,,1
2004,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,416.6,,,,1
2005,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,431.0,,,,1
2006,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,454.8,,,,1
2007,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,446.6,,,,1
2008,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,435.7,,,,1
2009,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,429.2,,,,1
2010,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,432.4,,,,1
2011,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,427.7,,,,1
2012,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,430.4,,,,1
2013,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,415.4,,,,1
2014,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,398.1,,,,1
2015,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,388.2,,,,1
2016,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,399.4,,,,1
2017,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,400.1,,,,1
2018,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,396.3,,,,1
2019,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,369.4,,,,1
2020,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,279.7,,,,1
1970,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,15.2,,,,1
1971,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.5,,,,1
1972,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.2,,,,1
1973,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.9,,,,1
1974,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.9,,,,1
1975,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.7,,,,1
1976,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.5,,,,1
1977,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.2,,,,1
1978,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1979,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.7,,,,1
1980,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.5,,,,1
1981,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.6,,,,1
1982,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.5,,,,1
1983,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.5,,,,1
1984,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1985,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.0,,,,1
1986,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1987,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1988,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1989,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1990,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1991,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1992,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1993,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.8,,,,1
1994,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,12.9,,,,1
1995,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.2,,,,1
1996,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.5,,,,1
1997,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.9,,,,1
1998,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.7,,,,1
1999,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,13.9,,,,1
2000,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.1,,,,1
2001,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.1,,,,1
2002,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.2,,,,1
2003,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.3,,,,1
2004,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.5,,,,1
2005,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.5,,,,1
2006,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.5,,,,1
2007,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.5,,,,1
2008,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.5,,,,1
2009,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.5,,,,1
2010,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.6,,,,1
2011,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.8,,,,1
2012,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,14.9,,,,1
2013,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,15.1,,,,1
2014,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,15.2,,,,1
2015,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,15.4,,,,1
2016,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,15.6,,,,1
2017,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,15.6,,,,1
2018,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,15.6,,,,1
2019,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,15.5,,,,1
2020,Canada,2016A000011124,Mean duration of marriage,Years,308,units,0,v1331258932,1.7,15.3,,,,1
1970,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,13.3,,,,1
1971,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.4,,,,1
1972,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,11.9,,,,1
1973,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,11.5,,,,1
1974,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,11.4,,,,1
1975,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,11.1,,,,1
1976,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.8,,,,1
1977,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.5,,,,1
1978,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.2,,,,1
1979,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.0,,,,1
1980,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,9.9,,,,1
1981,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.0,,,,1
1982,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.1,,,,1
1983,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.2,,,,1
1984,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.6,,,,1
1985,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.9,,,,1
1986,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.7,,,,1
1987,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.8,,,,1
1988,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.8,,,,1
1989,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.8,,,,1
1990,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.8,,,,1
1991,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.8,,,,1
1992,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.7,,,,1
1993,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.7,,,,1
1994,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.6,,,,1
1995,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,10.9,,,,1
1996,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,11.2,,,,1
1997,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,11.6,,,,1
1998,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,11.4,,,,1
1999,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,11.7,,,,1
2000,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,11.9,,,,1
2001,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.0,,,,1
2002,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.2,,,,1
2003,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.2,,,,1
2004,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.5,,,,1
2005,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.4,,,,1
2006,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.2,,,,1
2007,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.3,,,,1
2008,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.3,,,,1
2009,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.2,,,,1
2010,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.3,,,,1
2011,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.5,,,,1
2012,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.5,,,,1
2013,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.9,,,,1
2014,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,13.0,,,,1
2015,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,13.2,,,,1
2016,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,13.4,,,,1
2017,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,13.3,,,,1
2018,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,13.2,,,,1
2019,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,13.2,,,,1
2020,Canada,2016A000011124,Median duration of marriage,Years,308,units,0,v1331258933,1.8,12.8,,,,1
1970,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.5,,,,1
1971,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.5,,,,1
1972,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.3,,,,1
1973,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.5,,,,1
1974,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.7,,,,1
1975,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,9.0,,,,1
1976,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,9.3,,,,1
1977,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,9.0,,,,1
1978,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,9.0,,,,1
1979,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.9,,,,1
1980,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.7,,,,1
1981,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,9.2,,,,1
1982,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.8,,,,1
1983,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.5,,,,1
1984,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.5,,,,1
1985,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,8.3,,,,1
1986,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,7.3,,,,1
1987,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.5,,,,1
1988,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.0,,,,1
1989,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.0,,,,1
1990,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
1991,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.3,,,,1
1992,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.3,,,,1
1993,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.4,,,,1
1994,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.4,,,,1
1995,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.4,,,,1
1996,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.4,,,,1
1997,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.2,,,,1
1998,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.2,,,,1
1999,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2000,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2001,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2002,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.3,,,,1
2003,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.4,,,,1
2004,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.4,,,,1
2005,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.4,,,,1
2006,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2007,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.0,,,,1
2008,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2009,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2010,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2011,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.4,,,,1
2012,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2013,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2014,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.2,,,,1
2015,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.2,,,,1
2016,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.4,,,,1
2017,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.1,,,,1
2018,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,4.8,,,,1
2019,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,4.9,,,,1
2020,Canada,2016A000011124,Median duration of divorce proceedings,Months,220,units,0,v1331258934,1.9,5.8,,,,1
1986,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,1,,,,0
1987,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,4,,,,0
1988,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,5,,,,0
1989,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,5,,,,0
1990,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,7,,,,0
1991,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,7,,,,0
1992,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,8,,,,0
1993,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,9,,,,0
1994,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,10,,,,0
1995,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,11,,,,0
1996,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,12,,,,0
1997,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,13,,,,0
1998,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,14,,,,0
1999,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,15,,,,0
2000,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,16,,,,0
2001,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,18,,,,0
2002,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,18,,,,0
2003,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,19,,,,0
2004,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,19,,,,0
2005,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,21,,,,0
2006,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,21,,,,0
2007,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,21,,,,0
2008,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,21,,,,0
2009,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,21,,,,0
2010,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,20,,,,0
2011,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,21,,,,0
2012,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,22,,,,0
2013,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,23,,,,0
2014,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,24,,,,0
2015,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,24,,,,0
2016,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,25,,,,0
2017,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,29,,,,0
2018,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,29,,,,0
2019,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,30,,,,0
2020,Canada,2016A000011124,Proportion of divorce applications that are filed jointly,Percent,239,units,0,v1331258935,1.10,31,,,,0